lens_id,label,value,category
voigtlander_65_2_macro,Autofocus,No,Focus
voigtlander_65_2_macro,Full time manual,Yes,Focus
voigtlander_65_2_macro,Focus method,Extending front,Focus
voigtlander_65_2_macro,Distance scale,Yes,Focus
voigtlander_65_2_macro,DoF scale,Yes,Focus
voigtlander_65_2_macro,Weight,625 g (1.38 lb),Physical
voigtlander_65_2_macro,Diameter,78 mm (3.07″),Physical
voigtlander_65_2_macro,Length,91 mm (3.58″),Physical
voigtlander_65_2_macro,Materials,Metal,Physical
voigtlander_65_2_macro,Sealing,No,Physical
voigtlander_65_2_macro,Colour,black,Physical
voigtlander_65_2_macro,Filter thread,67.0 mm,Physical
voigtlander_65_2_macro,Hood supplied,Yes,Physical
voigtlander_65_2_macro,Tripod collar,No,Physical
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Lens type,Prime lens,Principal specifications
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Max Format size,APS-C / DX,Principal specifications
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Focal length,80 mm,Principal specifications
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Image stabilization,Yes,Principal specifications
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Lens mount,Fujifilm X,Principal specifications
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Maximum aperture,F2.8,Aperture
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Minimum aperture,F22,Aperture
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Aperture ring,Yes,Aperture
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Number of diaphragm blades,9,Aperture
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Elements,16,Optics
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Groups,12,Optics
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Special elements / coatings,"One aspherical, one ED, three Super ED elements + fluorine coating",Optics
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Minimum focus,0.25 m (9.84″),Focus
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Maximum magnification,1×,Focus
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Autofocus,Yes,Focus
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Motor type,Linear Motor,Focus
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Full time manual,Yes,Focus
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Focus method,Internal,Focus
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Focus notes,Floating focus system,Focus
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Distance scale,No,Focus
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,DoF scale,No,Focus
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Weight,750 g (1.65 lb),Physical
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Diameter,80 mm (3.15″),Physical
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Length,130 mm (5.12″),Physical
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Materials,Magnesium alloy,Physical
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Sealing,Yes,Physical
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Colour,Black,Physical
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Filter thread,62.0 mm,Physical
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Hood supplied,Yes,Physical
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Tripod collar,No,Physical
zeiss_milvus_35_1p4,Lens type,Prime lens,Principal specifications
zeiss_milvus_35_1p4,Max Format size,35mm FF,Principal specifications
zeiss_milvus_35_1p4,Focal length,35 mm,Principal specifications
zeiss_milvus_35_1p4,Image stabilization,No,Principal specifications
zeiss_milvus_35_1p4,Lens mount,"Canon EF, Nikon F (FX)",Principal specifications
zeiss_milvus_35_1p4,Maximum aperture,F1.4,Aperture
zeiss_milvus_35_1p4,Minimum aperture,F16,Aperture
zeiss_milvus_35_1p4,Aperture ring,Yes,Aperture
zeiss_milvus_35_1p4,Number of diaphragm blades,9,Aperture
zeiss_milvus_35_1p4,Elements,14,Optics
zeiss_milvus_35_1p4,Groups,11,Optics
zeiss_milvus_35_1p4,Special elements / coatings,ED elements + T* coating,Optics
zeiss_milvus_35_1p4,Minimum focus,0.30 m (11.81″),Focus
zeiss_milvus_35_1p4,Maximum magnification,0.22×,Focus
zeiss_milvus_35_1p4,Autofocus,No,Focus
zeiss_milvus_35_1p4,Full time manual,Yes,Focus
zeiss_milvus_35_1p4,Focus method,Internal,Focus
zeiss_milvus_35_1p4,DoF scale,Yes,Focus
zeiss_milvus_35_1p4,Weight,1174 g (2.59 lb),Physical
zeiss_milvus_35_1p4,Diameter,85 mm (3.35″),Physical
zeiss_milvus_35_1p4,Length,126 mm (4.96″),Physical
zeiss_milvus_35_1p4,Sealing,Yes,Physical
zeiss_milvus_35_1p4,Colour,Black,Physical
zeiss_milvus_35_1p4,Filter thread,72.0 mm,Physical
zeiss_milvus_35_1p4,Hood supplied,Yes,Physical
tamron_18-400_3p5-6p3_di_ii_vc_hld,Lens type,Zoom lens,Principal specifications
tamron_18-400_3p5-6p3_di_ii_vc_hld,Max Format size,APS-C / DX,Principal specifications
tamron_18-400_3p5-6p3_di_ii_vc_hld,Focal length,18–400 mm,Principal specifications
tamron_18-400_3p5-6p3_di_ii_vc_hld,Image stabilization,Yes (Up to 2.5 stops),Principal specifications
tamron_18-400_3p5-6p3_di_ii_vc_hld,Lens mount,"Canon EF-S, Nikon F (DX)",Principal specifications
tamron_18-400_3p5-6p3_di_ii_vc_hld,Maximum aperture,F3.5–6.3,Aperture
tamron_18-400_3p5-6p3_di_ii_vc_hld,Minimum aperture,F22–40,Aperture
tamron_18-400_3p5-6p3_di_ii_vc_hld,Aperture ring,No,Aperture
tamron_18-400_3p5-6p3_di_ii_vc_hld,Number of diaphragm blades,7,Aperture
tamron_18-400_3p5-6p3_di_ii_vc_hld,Elements,16,Optics
tamron_18-400_3p5-6p3_di_ii_vc_hld,Groups,11,Optics
tamron_18-400_3p5-6p3_di_ii_vc_hld,Special elements / coatings,"Low dispersion, aspherical, hybrid aspherical elements",Optics
tamron_18-400_3p5-6p3_di_ii_vc_hld,Minimum focus,0.45 m (17.72″),Focus
tamron_18-400_3p5-6p3_di_ii_vc_hld,Maximum magnification,0.34×,Focus
tamron_18-400_3p5-6p3_di_ii_vc_hld,Autofocus,Yes,Focus
tamron_18-400_3p5-6p3_di_ii_vc_hld,Motor type,Ring-type ultrasonic,Focus
tamron_18-400_3p5-6p3_di_ii_vc_hld,Full time manual,Yes,Focus
tamron_18-400_3p5-6p3_di_ii_vc_hld,Focus method,Extending front,Focus
tamron_18-400_3p5-6p3_di_ii_vc_hld,Distance scale,No,Focus
tamron_18-400_3p5-6p3_di_ii_vc_hld,DoF scale,No,Focus
tamron_18-400_3p5-6p3_di_ii_vc_hld,Weight,710 g (1.57 lb),Physical
tamron_18-400_3p5-6p3_di_ii_vc_hld,Diameter,79 mm (3.11″),Physical
tamron_18-400_3p5-6p3_di_ii_vc_hld,Length,124 mm (4.88″),Physical
tamron_18-400_3p5-6p3_di_ii_vc_hld,Sealing,Yes,Physical
tamron_18-400_3p5-6p3_di_ii_vc_hld,Colour,Black,Physical
tamron_18-400_3p5-6p3_di_ii_vc_hld,Zoom method,Rotary (extending),Physical
tamron_18-400_3p5-6p3_di_ii_vc_hld,Power zoom,No,Physical
tamron_18-400_3p5-6p3_di_ii_vc_hld,Zoom lock,Yes,Physical
tamron_18-400_3p5-6p3_di_ii_vc_hld,Filter thread,72.0 mm,Physical
tamron_18-400_3p5-6p3_di_ii_vc_hld,Hood supplied,Yes,Physical
samyang_35_2p8_fe,Lens type,Prime lens,Principal specifications
samyang_35_2p8_fe,Max Format size,35mm FF,Principal specifications
samyang_35_2p8_fe,Focal length,35 mm,Principal specifications
samyang_35_2p8_fe,Image stabilization,No,Principal specifications
samyang_35_2p8_fe,Lens mount,Sony FE,Principal specifications
samyang_35_2p8_fe,Maximum aperture,F2.8,Aperture
samyang_35_2p8_fe,Minimum aperture,F22,Aperture
samyang_35_2p8_fe,Aperture ring,No,Aperture
samyang_35_2p8_fe,Number of diaphragm blades,7,Aperture
samyang_35_2p8_fe,Elements,7,Optics
samyang_35_2p8_fe,Groups,6,Optics
samyang_35_2p8_fe,Special elements / coatings,Two aspherical + one high-refractive element + Ultra Multi Coating,Optics
samyang_35_2p8_fe,Minimum focus,0.35 m (13.78″),Focus
samyang_35_2p8_fe,Maximum magnification,0.12×,Focus
samyang_35_2p8_fe,Autofocus,Yes,Focus
samyang_35_2p8_fe,Full time manual,No,Focus
samyang_35_2p8_fe,Focus method,Internal,Focus
samyang_35_2p8_fe,Distance scale,No,Focus
samyang_35_2p8_fe,DoF scale,No,Focus
samyang_35_2p8_fe,Weight,85 g (0.19 lb),Physical
samyang_35_2p8_fe,Diameter,62 mm (2.44″),Physical
samyang_35_2p8_fe,Length,33 mm (1.3″),Physical
samyang_35_2p8_fe,Sealing,No,Physical
samyang_35_2p8_fe,Colour,Black,Physical
samyang_35_2p8_fe,Filter thread,49.0 mm,Physical
samyang_35_2p8_fe,Tripod collar,No,Physical
nikon_af-p_70-300_4p5-5p6e_ed_vr,Lens type,Zoom lens,Principal specifications
nikon_af-p_70-300_4p5-5p6e_ed_vr,Max Format size,35mm FF,Principal specifications
nikon_af-p_70-300_4p5-5p6e_ed_vr,Focal length,70–300 mm,Principal specifications
nikon_af-p_70-300_4p5-5p6e_ed_vr,Image stabilization,Yes (4.5 stops),Principal specifications
nikon_af-p_70-300_4p5-5p6e_ed_vr,Lens mount,Nikon F (FX),Principal specifications
nikon_af-p_70-300_4p5-5p6e_ed_vr,Maximum aperture,F4.5–32,Aperture
nikon_af-p_70-300_4p5-5p6e_ed_vr,Minimum aperture,F5.6–40,Aperture
nikon_af-p_70-300_4p5-5p6e_ed_vr,Aperture ring,No,Aperture
nikon_af-p_70-300_4p5-5p6e_ed_vr,Number of diaphragm blades,9,Aperture
nikon_af-p_70-300_4p5-5p6e_ed_vr,Elements,18,Optics
nikon_af-p_70-300_4p5-5p6e_ed_vr,Groups,14,Optics
nikon_af-p_70-300_4p5-5p6e_ed_vr,Special elements / coatings,1 ED element,Optics
nikon_af-p_70-300_4p5-5p6e_ed_vr,Minimum focus,1.25 m (49.21″),Focus
nikon_af-p_70-300_4p5-5p6e_ed_vr,Maximum magnification,0.25×,Focus
nikon_af-p_70-300_4p5-5p6e_ed_vr,Autofocus,Yes,Focus
nikon_af-p_70-300_4p5-5p6e_ed_vr,Motor type,Stepper motor,Focus
nikon_af-p_70-300_4p5-5p6e_ed_vr,Full time manual,Yes,Focus
nikon_af-p_70-300_4p5-5p6e_ed_vr,Focus method,Internal,Focus
nikon_af-p_70-300_4p5-5p6e_ed_vr,Distance scale,No,Focus
nikon_af-p_70-300_4p5-5p6e_ed_vr,DoF scale,No,Focus
nikon_af-p_70-300_4p5-5p6e_ed_vr,Focus distance limiter,No,Focus
nikon_af-p_70-300_4p5-5p6e_ed_vr,Weight,680 g (1.50 lb),Physical
nikon_af-p_70-300_4p5-5p6e_ed_vr,Diameter,81 mm (3.17″),Physical
nikon_af-p_70-300_4p5-5p6e_ed_vr,Length,146 mm (5.75″),Physical
nikon_af-p_70-300_4p5-5p6e_ed_vr,Sealing,No,Physical
nikon_af-p_70-300_4p5-5p6e_ed_vr,Colour,Black,Physical
nikon_af-p_70-300_4p5-5p6e_ed_vr,Zoom method,Rotary (extending),Physical
nikon_af-p_70-300_4p5-5p6e_ed_vr,Power zoom,No,Physical
nikon_af-p_70-300_4p5-5p6e_ed_vr,Filter thread,67.0 mm,Physical
nikon_af-p_70-300_4p5-5p6e_ed_vr,Hood supplied,Yes,Physical
nikon_af-p_70-300_4p5-5p6e_ed_vr,Hood product code,HB-82,Physical
nikon_af-p_70-300_4p5-5p6e_ed_vr,Tripod collar,No,Physical
